"citation_id","citation"
"cite0001","Seligman, C. G. (Charles Gabriel), and Brenda Z. (Salaman) Seligman. 1932. “The Azande.” In Pagan Tribes of the Nilotic Sudan, 495–539. London: George Routledge and Sons, Ltd."
"cite0002","Baxter, P. T. W., and Audrey Butt. 1953. “The Azande, and Related Peoples of the Anglo-Egyptian Sudan and Belgian Congo.” In Ethnographic Survey of Africa, East Central Africa, x, 152. London: International African Institute."
"cite0003","Evans-Pritchard, E. E. (Edward Evan). 1937. Witchcraft, Oracles and Magic among the Azande. Oxford: Clarendon Press."
"cite0004","Levine, Donald Nathan. 1965. Wax & Gold: Tradition and Innovation in Ethiopian Culture. Chicago: University of Chicago Press."
"cite0005","Messing, Simon D. (Simon David), and Ian A. Skoggard. 1998. “Culture Summary: Amhara.” New Haven, Conn.: HRAF."
"cite0006","Messing, Simon D. (Simon David), and M. Lionel (Marvin Lionel) Bender. 1985. “Highland Plateau Amhara of Ethiopia.” In Ethnography Series, 3 v. (xvii, 502 leaves). New Haven, Conn.: Human Relations Area Files."
"cite0007","Reminick, Ronald A. 1975. “The Structure and Functions of Religious Belief among the Amhara of Ethiopia.” In Proceedings of the First United States Conference on Ethiopian Studies, Michigan State University, 2-5 May, 1973, 25–42. East Lansing: African Studies Center, Michigan State University."
"cite0008","Young, Allan Louis. 1975. “Magic as a ‘Quasi-Profession’: The Organization of Magic and Magical Healing among Amhara.” Ethnology Vol. 14 (no. 3): 245–65."
"cite0009","Young, Allan Louis. 1972. Medical Beliefs and Practices of Begemder Amhara. Ann Arbor, Michigan: University Microfilms."
"cite0010","Kagwa Sir, Apolo, and M. S. M. Semakula Kiwanuka. 1971. “The Kings of Buganda.” In Historical Texts of Eastern and Central Africa, xlviii, 256. Nairobi: East African Pub. House."
"cite0011","Roscoe, John. 1911. The Baganda: An Account of Their Native Customs and Beliefs. London: Macmillan and Co."
"cite0012","Mair, Lucy Philip. 1934. An African People in the Twentieth Century. London: Routledge & Sons."
"cite0013","Orley, John H. 1970. “Culture and Mental Illness: A Study from Uganda.” In East African Studies, 82. Nairobi: Published for the Makerere Institute of Social Research [by] East African Pub. House."
"cite0014","Leakey, L. S. B. (Louis Seymour Bazett). 1930. “Some Notes on the Masai of Kenya Colony.” Journal of the Royal Anthropological Institute of Great Britian and Ireland Vol. 60: 185–209."
"cite0015","Spencer, Paul. 1988. “The Maasai of Matapato: A Study of Rituals of Rebellion.” In International African Library, [xiv], [297]. Bloomington, Ind.: Indiana University Press."
"cite0016","Cassanelli, Lee V. 1982. “The Shaping of Somali Society: Reconstructing the History of a Pastoral People, 1600-1900.” In Ethnohistory, xvi, 311. Philadelphia: University of Pennsylvania Press."
"cite0017","Cerulli, Enrico. 1957. “New Notes on the Astronomical Ideas of the Somalis.” In Somalia, Scritti Vari Editi Ed Inediti, Vol. 1:HRAF Ms: 14  [original: 219–27 ]. Roma: A Cura dell’Amministrazione Fiduciaria Italiana della Somalia ; Instituto poligrafico dello Stato P.V."
"cite0018","Galaal, Muusa H. I. 1968. The Terminology and Practice of Somali Weather Lore, Astronomy, and Astrology. Mogadishu, Somalia: Published by the author."
"cite0019","Helander, Bernhard. 1988. The Slaughtered Camel: Coping with Fictitious Descent among the Hubeer of Southern Somalia. [Uppsala, Sweden]: University of Uppsala, Department of Anthropology."
"cite0020","Lewis, I. M. 1955–1956. “Sufism in Somaliland: A Study in Tribal Islam - I & II.” Bulletin of the School of Oriental and African Studies, University of London, HRAF: 1–38  [original: 581–602  ; 145–56 ]."
"cite0021","Richards, Audrey I. (Audrey Isabel). 1939. Land, Labour and Diet in Northern Rhodesia: An Economic Study of the Bemba Tribe. Pub. for the International Institute of African Languages & Cultures by the Oxford University Press."
"cite0022","Prins, Gwyn. 1980. “The Hidden Hippopotamus: Reappraisal in African History.” In African Studies Series, xvi, 319. Cambridge [Eng.]: Cambridge University Press."
"cite0023","Reynolds, Barrie. 1963. “Magic, Divination and Witchcraft among the Barotse of Northern Rhodesia.” In Robins Series, 19, 181 , plates. London, England: Chatto and Windus."
"cite0024","Debrunner, Hans W. 1961. Witchcraft in Ghana: A Study on the Belief in Destructive Witches and Its Effect on the Akan Tribes. Accra: Presbyterian Book Depot Ltd."
"cite0025","Field, M. J. (Margaret Joyce). 1970. “Search for Security: An Ethno-Psychiatric Study of Rural Ghana.” In Norton Library, 478. New York, N.Y.: W. W. Norton & Company, Inc."
"cite0026","Rattray, R. S. (Robert Sutherland). 1927. “Religion and Art in Ashanti.” In . Oxford, England: Clarendon Press."
"cite0027","Beek, W. E. A. van. 1994. “The Innocent Sorcerer: Coping with Evil in Two African Societies (Kapsiki & Dogon).” In Religion in Africa : Experience & Expression, v. 4:196–228, 443–83. London: J. Currey ; Heinemann."
"cite0028","Calame-Griaule, Geneviève. 1986. Words and the Dogon World. Philadelphia: Institute for the Study of Human Issues."
"cite0029","Palau Martí, Monserrat, and Freida Schütze. 1957. “The Dogon.” In Monographies Ethnologiques Africaines, HRAF ms: 183  [original: xii, 122 ]. Paris: Presses Universitaires de France."
"cite0030","Besmer, Fremont E. 1983. Horses, Musicians & Gods: The Hausa Cult of Possession-Trance. South Hadley, Mass.: Bergin & Garvey Publishers."
"cite0031","Malone, Martin J., and Ian A. Skoggard. 1998. “Culture Summary: Kanuri.” New Haven, Conn.: HRAF."
"cite0032","Abraham, Roy Clive. 1933. “The Tiv People.” In . Lagos: The Government Printer."
"cite0033","Akiga, Rupert East, and International Institute Of African Languages And Cultures. 1939. “Akiga’s Story: The Tiv Tribe as Seen by One of Its Members.” In . London, New York [etc.]: Oxford University Press."
"cite0034","Bohannan, Paul, and Laura Bohannan. 1958. “Three Source Notebooks in Tiv Ethnography.” New Haven, Conn.: Human Relations Area Files."
"cite0035","Downes, Roger Meaden. 1933. “The Tiv Tribe.” In . Kaduna: The Government Printer."
"cite0036","Edwards, Adrian Campion. 1983. “Seeing, Believing, Doing: The Tiv Understanding of Power.” Anthropos Vol. 78: 459–80."
"cite0037","Edwards, Adrian Campion. 1984. “On the Non-Existence of an Ancestor Cult among the Tiv.” Anthropos Vol. 79: 77–112."
"cite0038","Knez, Eugene Irving. 1970. Sam Jong Dong: A South Korean Village. Ann Arbor, Mich.: University Microfilms."
"cite0039","Yi, Mun-ung. 1976. “Rural North Korea under Communism: A Study of Sociocultural Change.” In Monographs in Behavioral Science, vol. 62:iv, 176. Houston, Texas: William Marsh Rice University."
"cite0040","Barnett, William Kester. 1971. An Ethnographic Description of Sanlei Ts’un, Taiwan, with Emphasis on Women's Roles: Overcoming Research Problems Caused by the Presence of a Great Tradition. Ann Arbor, Mich.: University Microfilms."
"cite0041","Diamond, Norma. 1969. “Kʻun Shen; a Taiwan Village.” In Case Studies in Cultural Anthropology, 12, 111. New York: Holt, Rinehart and Winston."
"cite0042","Feuchtwang, Stephan. 1974. “Domestic and Communal Worship in Taiwan.” In Religion and Ritual in Chinese Society, 105–29, 355–56. Stanford, Calif.: Stanford University Press."
"cite0043","Gallin, Bernard. 1966. Hsin Hsing, Taiwan: A Chinese Village in Change. Berkeley: University of California Press."
"cite0044","Gould-Martin, Katherine. 1975. “Medical Systems in a Taiwan Village: ONG-IA-KONG, the Plague God as Modern Physician.” In Medicine in Chinese Cultures : Comparative Studies of Health Care in Chinese and Other Societies, 115–41. Washington, D.C.: U.S. Department of Health, Education, and Welfare, National Institutes of Health."
"cite0045","Gould-Martin, Katherine. 1977. Women Asking Women: An Ethnography of Health Care in Rural Taiwan. Ann Arbor, Mich.: Xerox University Microfilms."
"cite0046","Harrell, Stevan. 1983. Belief and Unbelief in a Taiwan Village. Ann Arbor, Mich.: Xerox University Microfilms."
"cite0047","Harrell, Stevan. 1979. “The Concept of Soul in Chinese Folk Religion.” Journal of Asian Studies Vol. 38 (no. 3): 519–28."
"cite0048","Martin, Emily. 1981. “The Thai Ti Kong Festival.” In The Anthropology of Taiwanese Society, 397–425, 469–70. Stanford, Calif.: Stanford University Press."
"cite0049","Martin, Emily. 1973. The Cult of the Dead in a Chinese Village. Stanford, Calif.: Stanford University Press."
"cite0050","Balzer, Marjorie Mandelstam. 1996. “Flights of the Sacred: Symbolism and Theory in Siberian Shamanism.” American Anthropologist Vol. 98 (no. 2): 305–18."
"cite0051","Burling, Robbins. 1963. Rengsanggri: Family and Kinship in a Garo Village. Philadelphia: University of Pennsylvania Press."
"cite0052","Goswami, M. C., and Dhirendra Narayan Majumdar. 1968. “A Study of Social Attitudes among the Garo.” Man in India Vol. 48 (no. 1): 55–70."
"cite0053","McCormack, Anna P. 1964. “Khasis.” In Ethnic Groups of Mainland Southeast Asia, 105–12. New Haven, Conn.: Human Relations Area Files Press."
"cite0054","Biswas, Prophilla Chander. 1956. Santals of the Santal Parganas. Delhi: Bharatiya Adimjati Sevak Sangh."
"cite0055","Mukherjea, Charulal. 1962. The Santals. Calcutta: A. Mukherjee & Co., Private Ltd."
"cite0056","MacDougall, Robert Duncan. 1974. Domestic Architecture among the Kandyan Sinhalese. Ann Arbor, Michigan: University Microfilms."
"cite0057","Attagara, Kingkeo. 1984. The Folk Religion of Ban Nai, a Hamlet in Central Thailand. Ann Arbor, Michigan: University Microfilms."
"cite0058","Kemp, Jeremy, University Of Kent At Canterbury, Centre For Social Anthropology And Computing, and Centre Of South-East Asian Studi. 1992. “Hua Kok: Social Oragnization in North-Central Thailand.” In CSAC Monographs, xii, 212. Canterbury, United Kingdom: Centre for Social Anthropology and Computing and the Centre of South-East Asian Studies, University of Kent at Canterbury."
"cite0059","Phillips, Herbert P. 1966. Thai Peasant Personality: The Patterning of Interpersonal Behavior in the Village of Bang Chan. Berkeley And Los Angeles, Calif.: University of California Press."
"cite0060","Terwiel, B. J. 1975. “Monks and Magic: An Analysis of Religious Ceremonies in Central Thailand.” In Monograph Series, 2, 8, 296 , 4 plates. Lund, Sweden: Studentlitteratur ; Curzon Press."
"cite0061","Tomosugi, Takashi. 1995. Changing Features of a Rice-Growing Village in Central Thailand: A Fixed-Point Study from 1967 to 1993. Tokyo: Centre for East Asian Cultural Studies for Unesco."
"cite0062","Adriani, Nicolaus, and Albertus Christiaan Kruijt. 1951. “The Bare’e-Speaking Toradja of Central Celebes (the East Toradja): Second Volume.” In Verhandelingen, HRAF MS: ix, 810  [original: viii, 557 ]. Amsterdam: Noord-Hollandsche Uitgevers Maatschappij."
"cite0063","Beierle, John, and Martin J. Malone. 1997. “Culture Summary: Eastern Toraja.” New Haven, Conn.: HRAF."
"cite0064","Downs, Richard Erskine. 1956. The Religion of the Bare-’E-Speaking Toradja of Central Celebes. S-Gravenhage: Uitgeverij Excelsior."
"cite0065","Freeman, Derek. 1955. Report on the Iban of Sarawak: Vol. 1: Iban Social Organization. Kuching, Sarawak: Government Printing Office."
"cite0066","Jensen, Erik. 1974. “The Iban and Their Religion.” In Oxford Monographs on Social Anthropology, [xii], 242 , [6]  of plates. Oxford, Eng.: Oxford University Press."
"cite0067","Lambrecht, Francis. 1954. “Ancestors’ Knowledge among the Ifugaos and Its Importance in the Religious and Social Life of the Tribe.” Journal of East Asiatic Studies Vol. 3 (no. 4): 359–65."
"cite0068","Parman, Susan. 1973. Sociocultural Change in a Scottish Crofting Township. Ann Arbor, Mich.: University Microfilms."
"cite0069","Collinder, Björn. 1949. The Lapps. Princeton, N.J.: Princeton University Press for the American Scandinavian Foundation."
"cite0070","Itkonen, Toivo Immanuel, and Eeva K. Minn. 1948. The Lapps in Finland up to 1945. Vol. 1. Porvoo, Helsinki: Werner Söderström Osakeyhtiö."
"cite0071","Itkonen, Toivo Immanuel, Olga Guemati, and Elisabeth Perez-Roman. 1948. The Lapps in Finland up to 1945. Vol. 2. Porvoo, Helsinki: Werner Söderström Osakeyhtiö."
"cite0072","Scheffer, Johannes. 1704. The History of Lapland: Containing a Geographical Description, and a Natural History of That Country; with an Account of the Inhabitants, Their Original, Religion, Customs, Habits, Marriages, Conjurations, Employments, Etc. London: Printed for Tho. newborough, at the Golden-Ball in St. Paul’s-Church-Yard and R. Parker under the Royal-Exchange."
"cite0073","Halpern, Barbara. 1983. “Watch out for Snakes!: Ethnosemantic Misinterpretations and Interpretation of a Serbian Healing Charm.” Anthropological Linguistics Vol. 25 (no. 3): 309–25."
"cite0074","Kemp, P., University Of London, and School Of Slavonic And East European Studies. 1935. Healing Ritual: Studies in the Technique and Tradition of the Southern Slavs. London: Published in conjunction with the School of the Slavonic and East European studies, University of London, Faber and Faber Limited."
"cite0075","Chapin, Mac. 1997. Curing among the San Blas Kuna of Panama. Ann Arbor, Michigan: University Microfilms International."
"cite0076","Marshall, Donald Stanley. [nd]-/. “Cuna Folk: A Conceptual Scheme Involving the Dynamic Factors of Culture, as Applied to the Cuna Indians of Darien.”"
"cite0077","Nordenskiöld, Erland, Ruben érez Kantule, and Henry Wassén. 1938. “An Historical and Ethnological Survey of the Cuna Indians.” In Comparative Ethnographical Studies, vol. 10:xxvii, 686 , plates. Göteborg, Sweden: Göteborg Museum."
"cite0078","Sherzer, Joel. 1983. “Kuna Ways of Speaking: An Ethnographic Perspective.” In Texas Linguistic Series, xii, 260 , plates. Austin: University of Texas Press."
"cite0079","Stout, David Bond. 1947. “San Blas Cuna Acculturation: An Introduction.” In Viking Fund Publications in Anthropology, 124 , plates. New York: [s.n.]."
"cite0080","Metzger, Duane. 1964. “Interpretations of Drinking Performances in Aguacatenango.” In Microfilm Thesis, 4, 187 leaves. Chicago, Ill.: University of Chicago Library."
"cite0081","Bennett, Wendell Clark, and Robert M. (Robert Mowry) Zingg. 1935. “The Tarahumara: An Indian Tribe of Northern Mexico.” In Ethnological Series, xix, 412 , plates. Chicago, Illinois: The University of Chicago Press."
"cite0082","Fried, Jacob. 1951. Ideal Norms and Social Control in Tarahumara Society. [New Haven, Conn.]: [Yale University]."
"cite0083","Merrill, William L. 1997. “Culture Summary: Tarahumara.” New Haven, Conn.: HRAF."
"cite0084","Merrill, William L. 1988. “Rarámuri Souls: Knowledge and Social Process in Northern Mexico.” In Smithsonian Series in Ethnographic Inquiry, xi, 237. Washington, D.C.: Smithsonian Institution Press."
"cite0085","Brown, Jennifer S. H., 1940. “Culture Summary: Ojibwa.” New Haven, Conn.: HRAF."
"cite0086","Densmore, Frances. 1929. “Chippewa Customs.” In Bulletin, xii, 209 , plates. Washington: U.S. Govt. print. off."
"cite0087","Hallowell, A. Irving (Alfred Irving). 1976. “Ojibwa World View and Disease.” In Contributions to Anthropology : Selected Papers of A. Irving Hallowell, 391–448. Chicago: University of Chicago Press."
"cite0088","Jenness, Diamond. 1935. “The Ojibwa Indians of Parry Island, Their Social and Religious Life.” In Bulletin, vi, 115. Ottawa: National Museum of Canada, J. O. Patenaude, printer."
"cite0089","Vecsey, Christopher. 1983. “Traditional Ojibwa Religion and Its Historical Changes.” In Memoirs, vol. 152:x, 233. Philadelphia: American Philosophical Society."
"cite0090","Shimony, Annemarie. 1961. “Conservatism among the Iroquois at the Six Nations Reserve.” In Yale University Publications in Anthropology, 302. New Haven, Conn.: Department of Anthropology, Yale University."
"cite0091","John, Donald Patrick St. 1994. The Dream-Vision Experience of the Iroquois: Its Religious Meaning. Ann Arbor, Mich.: University Microfilms International."
"cite0092","Waugh, Frederick W. 1916. “Iroquois Foods and Food Preparation.” In Memoir, v, 235 , plates. Ottawa: Government Printing Bureau."
"cite0093","Laguna, Frederica De. 1972. “Under Mount Saint Elias: The History and Culture of the Yakutat Tlingit.” In Smithsonian Contributions to Anthropology, vol. 7:3 v. [i – xxiv, 1–548 ; xxix – xli, 549–914 ; xlvii – xlix, 915–1395 ], plates. Washington, D.C.: Smithsonian Institution Press; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.]."
"cite0094","Ewers, John Canfield. 1958. “The Blackfeet: Raiders of the Northwestern Plains.” In Civilization of the American Indian, vol. 49:xviii, 348 , plates. Norman: University of Oklahoma Press."
"cite0095","McClintock, Walter. 1968. The Old North Trail: Or, Life, Legends and Religion of the Blackfeet Indians. Lincoln: University of Nebraska Press."
"cite0096","Chamberlain, Von Del. 1982. “When Stars Came down to Earth: Cosmology of the Skidi Pawnee Indians of North America.” In Ballena Press Anthropological Papers, 270. Los Altos, Calif.: Ballena Press ; Center for Archaeoastronomy, University of Maryland."
"cite0097","Reid, Gerald F. 1998. “Culture Summary: Pawnee.” New Haven, Conn.: HRAF."
"cite0098","Titiev, Mischa. 1944. “Old  Oraibi: A Study of the Hopi Indians of the Third Mesa.” In Papers, xi, 277 , plates. New York: Kraus Reprint Co."
"cite0099","Whiteley, Peter M. 1988. Deliberate Acts: Changing Hopi Culture through Thr Oraibi Split. Tucson: University of Arizona Press."
"cite0100","Chewings, Charles. 1936. “Back in the Stone Age: The Natives of Central Australia.” In . Sydney, Australia: Angus & Robertson, limited."
"cite0101","Spencer Sir, Baldwin, and Francis James Gillen. 1927. “The Arunta: A Study of a Stone Age People.” In . London: Macmillan and co., limited."
"cite0102","Pospisil, Leopold J. 1958. “Kapauku Papuans and Their Law.” In Yale University Publications in Anthropology, 296 , plates. New Haven, Conn.: Published for the Dept. Anthropology, Yale University."
"cite0103","Weiner, Annette B., and John Beierle. 1995. “Culture Summary: Trobriands.” New Haven, Conn.: HRAF."
"cite0104","Weiner, Annette B. 1988. “The Trobrianders of Papua New Guinea.” In Case Studies in Cultural Anthropology, xx, 184. New York: Holt, Rinehart and Winston, Inc."
"cite0105","Caughey, John L. 1977. “Fa’a'nakkar Cultural Values in a Micronesian Society.” In University of Pennsylvania Publications in Anthropology, x, 180. Philadelphia, Pa.: Department of Anthropology, University of Pennsylvania."
"cite0106","Gladwin, Thomas, and Seymour Bernard Sarason. 1953. “Truk: Man in Paradise.” In Viking Fund Publications in Anthropology, 655. New York: Wenner-Gren Foundation for Anthropological Research."
"cite0107","Mahony, Frank J. 1971. A Trukese Theory of Medicine. Ann Arbor, Michigan: University Microfilms."
"cite0108","Thompson, Laura. 1940. “Fijian Frontier.” In Studies of the Pacific, xxvi, 153 , 7 plates. San Francisco, Calif.: American Council, Institute of Pacific Relations."
"cite0109","Firth, Raymond. 1939. Primitive Polynesian Economy. London, England: George Routledge & Sons, Ltd."
"cite0110","Firth, Raymond. 1937. “Tatooing in Tikopia.” Man Vol. 36: 173–77."
"cite0111","Price, Richard. 1990. “Alabi’s World.” In Johns Hopkins Studies in Atlantic History and Culture, xx, 444. Baltimore: Johns Hopkins University Press."
"cite0112","Hugh-Jones, Stephen. 1979. “The Palm and the Pleiades: Initiation and Cosmology in Northwest Amazonia.” In Cambridge Studies in Social Anthropology, xvi, 332 , plates. Cambridge: Cambridge University Press."
"cite0113","Barre, Weston La. 1951. “Aymara Biologicals and Other Medicines.” Journal of American Folklore, 171–78."
"cite0114","Tschopik Jr, Harry. 1946. “The Aymara.” In Bulletin, vol. 2:501–73 , plates. Washington, D.C.: Smithsonian Institution."
"cite0115","Tschopik Jr, Harry. 1951. “The Aymara of Chucuito, Peru: 1. Magic.” In Anthropological Papers, vol. 44:133–308 , plates. New York: American Museum of Natural History."
"cite0116","Levak, Zarko David. 1974. Kinship System and Social Structure of the Bororo of Pobojari. Ann Arbor, Michigan: University Microfilms."
"cite0117","Reed, Richard K. 1995. Prophets of Agroforestry: Guarani Communities and Commercial Gathering. Austin: University of Texas Press."
"cite0118","Schaden, Egon, and Lars-Peter Lewinsóhn. 1962. “Fundamental Aspects of Guaraní Culture.” In Corpo E Alma Do Brasil, HRAF MS: 1–236  [original: 191 plates). Sao Paulo: Difusao Européia do Livro."
"cite0119","Watson, James B. (James Bennett). 1952. “Cayuá Culture Change: A Study in Acculturation and Methodology.” In Memoirs, 144. Menasha, Wis.: American Anthropological Association."
"cite0120","Reichel-Dolmatoff, Gerardo. 1974. “Funerary Customs and Religious Symbolism among the Kogi.” In Native South Americans : Ethnology of the Least Known Continent, 289–301. Boston: Little, Brown and Company."
"cite0121","Métraux, Alfred. 1944. “Report on the Ethnography of the Mataco Indians of the Argentine Gran Chaco.” Relaciones de La Sociedad Argentina de Antropologia Vol. 4: HRAF MS: i, 11  [original: 7–18]."
"cite0122","Hoben, Allan. 1963. The Role of Ambilineal Descent Groups in Gojjam Amhara Social Organization. Ann Arbor, Michigan: University Microfilms, Inc."
"cite0123","Gluckman, Max. 1967. The Judicial Process among the Barotse of Northern Rhodesia. Manchester: Manchester University Press, published on behalf of the Institute for Social Research, University of Zambia."
"cite0124","Rosman, Abraham. 1966. Social Structure and Acculturation among the Kanuri of Northern Nigeria. Ann Arbor, Michigan: University Microfilms Publications."
"cite0125","Dallet, Charles, and Charles A. Messner. 1874. A History of the Church in Korea: Vol. 1. Paris: Victor Palmé."
"cite0126","Janelli, Roger L., and Dawnhee Yim Janelli. 1982. Ancestor Worship and Korean Society. Stanford, Calif.: Stanford University Press."
"cite0127","Bunnag, Jane. 1973. Buddhist Monk, Buddhist Layman: A Study of Urban Monastic Organization in Central Tahiland. Cambridge, England: At the University Press."
"cite0128","Halpern, Joel Martin. 1967. “A Serbian Village.” In Harper Colophon Books, xxvi, 358. New York: Harper & Row."
"cite0129","Hallowell, A. Irving (Alfred Irving). 1955. “Culture and Experience.” In Publications, vol. 4:xvi, 434. Philadelphia: University of Pennsylvania."
"cite0130","Weaver, Sally M. 1972. “Medicine and Politics among the Grand River Iroquois: A Study of the Non-Conservatives.” In Publications in Ethnology, [xiv], 182  [double – column]. Ottawa, Ont.: National Museums of Canada, National Museum of Man."
"cite0131","Talayesva, Don C., and Leo William Simmons. 1942. Sun Chief: The Autobiography of a Hopi Indian. New Haven: Pub. for the Institute of Human Relations by Yale University Press ; H. Milford, Oxford University Press."
